locus_id	gene_name	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8
SYNTHETIC_AmtR	AmtR	1749.0	8507.0	14398.0	73244.0	3018.0	9082.0	1588.0	2030.0	2937.0	44296.0	14818.0	41707.0	7276.0	62495.0	17777.0	63631.0
SYNTHETIC_AraC	AraC	7788.0	8868.0	7378.0	32423.0	4271.0	8396.0	405.0	317.0	14754.0	32952.0	18254.0	18296.0	17329.0	154831.0	38058.0	106709.0
SYNTHETIC_BM3R1	BM3R1	216.0	228.0	725.0	2103.0	11174.0	2485.0	140.0	112.0	219.0	626.0	588.0	1373.0	20710.0	136711.0	27742.0	79155.0
SYNTHETIC_KanR	KanR	6530.0	9278.0	9271.0	25448.0	3329.0	6876.0	271.0	164.0	6780.0	33893.0	10049.0	22995.0	10638.0	88998.0	13814.0	43388.0
SYNTHETIC_LacI	LacI	975.0	1721.0	1373.0	5800.0	749.0	1588.0	72.0	77.0	2230.0	8128.0	1629.0	2356.0	2371.0	20367.0	4424.0	10818.0
SYNTHETIC_LitR	LitR	483.0	1514.0	55343.0	167975.0	94224.0	23188.0	7651.0	5715.0	526.0	2095.0	59840.0	140783.0	106066.0	1125588.0	234865.0	740037.0
SYNTHETIC_PhlF	PhlF	10620.0	10275.0	2659.0	8814.0	972.0	13084.0	1039.0	961.0	20016.0	64422.0	4196.0	6369.0	2928.0	33443.0	8131.0	25720.0
SYNTHETIC_SrpR	SrpR	38475.0	10685.0	9024.0	29866.0	21155.0	7169.0	218.0	248.0	135093.0	36718.0	12811.0	18791.0	54848.0	74268.0	15460.0	29661.0
SYNTHETIC_TetR	TetR	1143.0	1697.0	1838.0	7561.0	840.0	2390.0	72.0	113.0	2835.0	8703.0	3238.0	5034.0	3443.0	35786.0	8211.0	14078.0
SYNTHETIC_YFP	YFP	769.0	486.0	97495.0	482886.0	83137.0	6256.0	1794.0	1309.0	1466.0	3247.0	151435.0	281061.0	220009.0	922481.0	295526.0	508747.0
ECDH10B_1337	17	3.0	1.0	16.0	13.0	28.0	5.0	0.0	0.0	12.0	73.0	12.0	18.0	8.0	94.0	0.0	21.0
ECDH10B_1338	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	18.0	0.0	0.0
ECDH10B_1339	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ECDH10B_1347	2	0.0	0.0	0.0	21.0	9.0	28.0	0.0	0.0	37.0	59.0	0.0	17.0	31.0	38.0	19.0	68.0
ECDH10B_1329	30	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
ECDH10B_1327	40	503.0	413.0	142.0	1152.0	95.0	330.0	0.0	22.0	274.0	1730.0	417.0	533.0	177.0	2658.0	426.0	1212.0
ECDH10B_1352	5	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ECDH10B_1349	B	0.0	9.0	6.0	64.0	0.0	9.0	0.0	0.0	8.0	29.0	0.0	10.0	17.0	148.0	21.0	26.0
ECDH10B_1350	C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	36.0	0.0	0.0	0.0	14.0	19.0	0.0
ECDH10B_1351	D	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	10.0	75.0	0.0	0.0
ECDH10B_0725	ECDH10B_0725	0.0	0.0	0.0	79.0	14.0	0.0	0.0	0.0	0.0	62.0	0.0	14.0	0.0	78.0	14.0	22.0
ECDH10B_1315	ECDH10B_1315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0
ECDH10B_1316	ECDH10B_1316	11.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	18.0	15.0	128.0	15.0	33.0
ECDH10B_1317	ECDH10B_1317	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	27.0	8.0	25.0
ECDH10B_1320	ECDH10B_1320	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECDH10B_1321	ECDH10B_1321	9.0	31.0	0.0	28.0	23.0	40.0	0.0	0.0	4.0	23.0	17.0	20.0	0.0	158.0	16.0	15.0
ECDH10B_1322	ECDH10B_1322	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	18.0	5.0	0.0	53.0	0.0	52.0	4.0	6.0
ECDH10B_1324	ECDH10B_1324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECDH10B_1325	ECDH10B_1325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECDH10B_1331	ECDH10B_1331	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	34.0	0.0	0.0	5.0	73.0	0.0	47.0
ECDH10B_1333	ECDH10B_1333	0.0	11.0	11.0	25.0	7.0	24.0	0.0	0.0	7.0	15.0	19.0	6.0	30.0	225.0	30.0	54.0
