	logFC	logCPM	PValue	FDR
yodA_locusTag_ECDH10B_2116	-13.2799935265325	7.12533744555381	1.61427121804413e-07	0.000704145105310851
yjgI_locusTag_ECDH10B_4443	-3.94514988028226	3.89115757181791	0.000159741561366682	0.204451459319329
yagH_locusTag_ECDH10B_0258	3.76436066098141	8.86490325727355	0.000172390320847395	0.204451459319329
ibpA_locusTag_ECDH10B_3873	-2.81019119539675	6.93870016126736	0.000187484144263483	0.204451459319329
xylA_locusTag_ECDH10B_3746	4.02978715605725	5.42379108195421	0.000329356743540383	0.259986440209749
ypeC_locusTag_ECDH10B_2555	-3.98821882655468	4.97827877903016	0.000357615461086312	0.259986440209749
ygbA_locusTag_ECDH10B_2900	8.00569106634991	2.08723719685715	0.000646913606442876	0.387819314863217
dsdA_locusTag_ECDH10B_2531	-3.3982788986483	5.57319825531933	0.000711268803050376	0.387819314863217
osmB_locusTag_ECDH10B_1400	-3.53986899473884	4.48769260174627	0.00107279700961912	0.471551645279946
xylR_locusTag_ECDH10B_3750	3.55949556632021	6.28966526890205	0.00108104457881693	0.471551645279946
feoA_locusTag_ECDH10B_3583	-7.52961709735987	1.57137191535687	0.0012579810483132	0.498846666612925
ynaA_locusTag_ECDH10B_1489	7.84739249572441	1.95006405297764	0.00144020603021266	0.499714607030294
xylH_locusTag_ECDH10B_3749	5.0406071652034	7.39364770374406	0.00149437305610784	0.499714607030294
glnA_locusTag_ECDH10B_4060	-1.84868968444078	9.03298616676955	0.00160877098408875	0.499714607030294
rpmE2_locusTag_ECDH10B_0285	-9.19943935813301	3.13251354236759	0.00171841336667914	0.499714607030294
yhjX_locusTag_ECDH10B_3726	-4.8223373568935	7.82602810478898	0.00215422278000605	0.587294985399149
hyfB_locusTag_ECDH10B_2648	7.40318635739206	1.57611319133701	0.0025317352648786	0.649613483847087
sgbE_locusTag_ECDH10B_3764	-8.2795662626681	1.76623562705658	0.00283346823210225	0.686643801579446
cspI_locusTag_ECDH10B_1684	1.89190957796079	8.54801682759524	0.00313307583400721	0.71773271228278
yagR_locusTag_ECDH10B_0272	5.18425509406111	2.02495027869076	0.00329084233050335	0.71773271228278
ytfK_locusTag_ECDH10B_4412	-2.27562044668927	5.35508010998351	0.00394277755567062	0.727210133696339
pstC_locusTag_ECDH10B_3914	-2.64516028023537	4.47282796215162	0.00423768613625124	0.727210133696339
xylF_locusTag_ECDH10B_3747	5.00368999892033	8.24364874162051	0.00430325602738322	0.727210133696339
yodB_locusTag_ECDH10B_2117	-5.30354734004071	3.68845722892503	0.00452331651927034	0.727210133696339
yebG_locusTag_ECDH10B_1989	2.56883395515444	5.57286205513325	0.00466560927269649	0.727210133696339
sraB_locusTag_ECDH10B_1159	-6.92842869857285	1.04930309943946	0.00483187106219996	0.727210133696339
gloA_locusTag_ECDH10B_1785	2.61297332750811	5.222829315912	0.00504398007559344	0.727210133696339
yagG_locusTag_ECDH10B_0257	2.58102372798142	8.58568786853891	0.00508678625748363	0.727210133696339
cadB_locusTag_ECDH10B_4325	-7.03217588049251	1.14077576913704	0.00514844324372743	0.727210133696339
xylE_locusTag_ECDH10B_4220	3.9952597908831	3.65072961850578	0.00515120223174881	0.727210133696339
yzgL_locusTag_ECDH10B_3601	7.10946668337091	1.3413336496652	0.00516816005148705	0.727210133696339
xylG_locusTag_ECDH10B_3748	4.73382523864313	7.78272412425133	0.00553223422250051	0.7541126774546
ibpB_locusTag_ECDH10B_3872	-2.57895122003554	6.81421647318946	0.00607447875776184	0.802935646707792
ECDH10B_1344_locusTag_ECDH10B_1344	6.93081229560779	1.19957961134356	0.00709291687486761	0.909979512005073
grpE_locusTag_ECDH10B_2780	-1.80048941816377	7.23259978795106	0.00753522633276363	0.917987726509122
pstS_locusTag_ECDH10B_3915	-2.14105973219603	6.27486644196593	0.00766843942896996	0.917987726509122
yicI_locusTag_ECDH10B_3838	2.91543915855099	5.67084200194623	0.00778669094012782	0.917987726509122
degP_locusTag_ECDH10B_0141	-1.68644788977117	7.6611846979427	0.00825395315457127	0.947466938427365
