	logFC	logCPM	PValue	FDR
araE_locusTag_ECDH10B_3013	-7.17170559735206	9.46043837366308	2.87553742089019e-14	1.2543094229923e-10
araJ_locusTag_ECDH10B_0352	-4.05740083526929	6.80249457867538	8.1092385897581e-10	1.76862493642624e-06
ygeA_locusTag_ECDH10B_3012	-4.39911401166506	7.90286282905825	3.68300691779765e-08	5.35509205847778e-05
BM3R1	-4.81779035384126	10.3446931746081	3.34394361516237e-07	0.000360344516306534
araH_locusTag_ECDH10B_2039	-6.3688668289806	6.62678154845848	4.81783461086204e-07	0.000360344516306534
araG_locusTag_ECDH10B_2040	-7.48983575869047	6.64416201148921	4.95659582264834e-07	0.000360344516306534
xylG_locusTag_ECDH10B_3748	-7.06284785802277	8.30557132418263	6.11956780412481e-07	0.000363904808959644
xylF_locusTag_ECDH10B_3747	-7.93595082888339	8.78462426834106	6.67409094836579e-07	0.000363904808959644
araF_locusTag_ECDH10B_2041	-8.01482037057789	7.34818870769693	1.38292636245279e-06	0.000670258310335454
galE_locusTag_ECDH10B_0827	-3.80209399106812	7.43794691427563	2.13041601100267e-06	0.000929287463999364
pspD_locusTag_ECDH10B_1424	-6.8460586170967	2.40298487059023	2.59015629826641e-06	0.00102711470663983
pspA_locusTag_ECDH10B_1421	-3.77858250186666	8.27363498501988	4.05910618010632e-06	0.00147548509646865
cysA_locusTag_ECDH10B_2587	-3.49360185386662	6.4127820588277	1.33002358882588e-05	0.00428848860194938
galT_locusTag_ECDH10B_0826	-3.61088585470573	7.01898009886819	1.37640624546748e-05	0.00428848860194938
xylH_locusTag_ECDH10B_3749	-6.48072705759626	7.58509134233363	3.19396695220049e-05	0.00928805589699902
yicI_locusTag_ECDH10B_3838	-3.38466814934516	5.84164784458742	5.62905592342525e-05	0.0147772659945289
nanA_locusTag_ECDH10B_3402	3.43453220614315	5.83997692255189	5.75913621978429e-05	0.0147772659945289
yodA_locusTag_ECDH10B_2116	7.74862673646037	7.56540697966916	6.14597334061814e-05	0.014893742062098
dsdA_locusTag_ECDH10B_2531	-3.71001805459028	5.02564260837492	0.000122307282732117	0.0280791772251313
cadC_locusTag_ECDH10B_4326	3.03816705331718	4.00682627183677	0.00018954168970869	0.0387344719946254
cpsG_locusTag_ECDH10B_2198	6.58917129383333	4.00938819021485	0.000189552701989432	0.0387344719946254
pspC_locusTag_ECDH10B_1423	-6.39424509132076	4.07901549649748	0.000195359556139789	0.0387344719946254
galK_locusTag_ECDH10B_0825	-2.75925181996295	6.07070529285996	0.00022193896588107	0.0405518094004125
xylE_locusTag_ECDH10B_4220	-4.12173144931581	4.22178662227631	0.000223118621185213	0.0405518094004125
hdeA_locusTag_ECDH10B_3686	4.06972458800076	5.36544459205211	0.000246931295199559	0.0430845723864191
yhaO_locusTag_ECDH10B_3285	3.04001255467243	4.80480560656159	0.000278281253709736	0.0466870318723795
yciW_locusTag_ECDH10B_1404	-3.17351188917455	5.7976321780112	0.000297437693139314	0.0480527117582847
cysJ_locusTag_ECDH10B_2932	-2.75688456286731	6.93332593237442	0.000345393039924608	0.0538073014339693
yqhD_locusTag_ECDH10B_3186	-2.7034399494961	6.32279666308772	0.000368193125091681	0.0553813245396521
ilvC_locusTag_ECDH10B_3963	2.72694339913514	9.79768372792681	0.000394497988240765	0.0573600074902072
hdeB_locusTag_ECDH10B_3685	4.31707991962894	4.3857650176349	0.000491503719959911	0.069159329885972
yagH_locusTag_ECDH10B_0258	-4.58650520653588	9.41308952911312	0.000518959687129537	0.070740692351845
yagG_locusTag_ECDH10B_0257	-3.43924194737849	8.85219639256213	0.000614004358788198	0.0799387980699678
tnaA_locusTag_ECDH10B_3895	-4.08549625834604	6.78516892505737	0.000623090127092826	0.0799387980699678
wcaD_locusTag_ECDH10B_2206	4.92782575370698	4.92065487255173	0.000686221869492959	0.0831188131675865
ydhM_locusTag_ECDH10B_1783	-2.92056656130871	4.32471658058652	0.00068681601622483	0.0831188131675865
spy_locusTag_ECDH10B_1881	-2.73716024749608	6.41473212710468	0.000706240762101675	0.0831188131675865
nudD_locusTag_ECDH10B_2201	4.17329791959543	3.00732638652413	0.000740945106871212	0.0831188131675865
rpmE2_locusTag_ECDH10B_0285	8.52498480172544	4.08500245152749	0.000743153075088463	0.0831188131675865
ycjM_locusTag_ECDH10B_1426	-4.41015573557323	2.99042245666367	0.00113825339427934	0.122727572433201
dsdX_locusTag_ECDH10B_2530	-3.84842400290308	3.59952953323598	0.00115356040113738	0.122727572433201
nanE_locusTag_ECDH10B_3400	2.95661863667941	3.47660233993473	0.00129987542784885	0.135001348006587
yhjX_locusTag_ECDH10B_3726	4.28460762066459	6.74404020286539	0.0014342690352477	0.1423617361621
rpmJ_locusTag_ECDH10B_0284	11.1559465889719	3.37441872912949	0.00145165188862402	0.1423617361621
wzxC_locusTag_ECDH10B_2196	4.19381295640252	3.72338972297242	0.00146865615022799	0.1423617361621
fdrA_locusTag_ECDH10B_0474	-4.91153883116645	2.6187479666654	0.00155935381613939	0.147867420565218
xylR_locusTag_ECDH10B_3750	-3.33919974804128	6.48406265101389	0.00160753626895035	0.14883496095713
cysW_locusTag_ECDH10B_2588	-3.41204629354039	4.65152400610339	0.00163779874505782	0.14883496095713
yqhC_locusTag_ECDH10B_3185	-2.57932062014335	4.36015483240526	0.00191165641441188	0.168815740876061
marR_locusTag_ECDH10B_1661	-3.79742587813527	3.12998733634142	0.00196976817265703	0.168815740876061
gadE_locusTag_ECDH10B_3688	3.52943034818544	5.451533287093	0.0019939862287952	0.168815740876061
ygbA_locusTag_ECDH10B_2900	-5.05397135546665	1.95613927792291	0.00203896499394626	0.168815740876061
ykfL_locusTag_ECDH10B_0235	7.20942974642674	-0.24386331959968	0.00205117704411536	0.168815740876061
gadA_locusTag_ECDH10B_3694	3.93449223816529	2.93734975597639	0.00219922997618608	0.172593168028961
feoB_locusTag_ECDH10B_3584	2.82023617134411	5.12695156834496	0.00220310627116212	0.172593168028961
nanT_locusTag_ECDH10B_3401	2.74708099000677	4.92913307522273	0.00224947063106939	0.172593168028961
wcaM_locusTag_ECDH10B_2193	3.65893940191621	4.16398393155639	0.00230983865809555	0.172593168028961
xylA_locusTag_ECDH10B_3746	-3.5109084562538	5.5699617023151	0.0023566354967141	0.172593168028961
wcaF_locusTag_ECDH10B_2204	6.41445532601904	2.6547568896923	0.00238338594220027	0.172593168028961
lsrG_locusTag_ECDH10B_1649	-7.97171806816863	0.289759388032491	0.00239273909006395	0.172593168028961
cysC_locusTag_ECDH10B_2918	-3.63742588102142	2.79040975414271	0.00241361376656732	0.172593168028961
pspG_locusTag_ECDH10B_4239	-2.42063925980849	5.31257720990659	0.00249737105783534	0.175698007457896
yicJ_locusTag_ECDH10B_3839	-3.41313627487263	3.45612985209571	0.00253759157951569	0.175698007457896
pspB_locusTag_ECDH10B_1422	-5.14474080198153	0.526246276634862	0.00267751524907828	0.182489398694991
yjbA_locusTag_ECDH10B_4219	-2.5491761816573	4.93886786581046	0.00272750372440372	0.18303648070537
cysN_locusTag_ECDH10B_2919	-2.31986706901733	5.78762522878354	0.00277756544935003	0.183571825607043
yciE_locusTag_ECDH10B_1372	-2.98563425324898	3.79507470529684	0.00303444599681398	0.197556021464218
cysK_locusTag_ECDH10B_2579	-1.88817836207524	9.01553768473585	0.00329982485750671	0.211674059241828
ycjO_locusTag_ECDH10B_1428	-6.95655693080522	-0.675319568825414	0.00357786556657616	0.226183327556598
sbp_locusTag_ECDH10B_4106	-1.72536184141117	6.95078955167656	0.0036862668679876	0.229707086830885
cysH_locusTag_ECDH10B_2930	-2.75573408513499	4.65458168860143	0.00379082209360411	0.230506848448396
sdaC_locusTag_ECDH10B_2965	1.70825103475439	7.1857248623445	0.00380478979557187	0.230506848448396
ygeO_locusTag_ECDH10B_3033	3.93048738764581	1.1122360504	0.00408039053180842	0.243817308215731
znuA_locusTag_ECDH10B_1998	2.90846637170328	6.82981237865029	0.00421536364932325	0.248478597815513
yhaC_locusTag_ECDH10B_3295	4.01106806006467	0.493532943037962	0.0046034809545362	0.267738452315825
alsE_locusTag_ECDH10B_4276	-7.28838825123728	-0.304442705047154	0.0048104622347583	0.276095214052838
eptA_locusTag_ECDH10B_4306	-2.32134914448286	5.31378662870802	0.00526316025136342	0.29270398934401
ydhV_locusTag_ECDH10B_1807	2.95235593527996	2.3510496318275	0.00531413706662569	0.29270398934401
ydcK_locusTag_ECDH10B_1555	-2.93848884934827	3.16970530176461	0.00533904186656171	0.29270398934401
hdeD_locusTag_ECDH10B_3687	3.67549432861012	4.60005339156535	0.00536825289947749	0.29270398934401
wcaJ_locusTag_ECDH10B_2197	3.91064393342632	3.33461281002721	0.0057918421572685	0.311901425802533
cpsB_locusTag_ECDH10B_2199	4.02282478058838	4.55054270450778	0.00609032150936789	0.32397539541296
glcD_locusTag_ECDH10B_3156	-3.83028378301358	3.81212421566359	0.00625634028182338	0.328797063967633
ygiZ_locusTag_ECDH10B_3201	4.63489506273601	1.53196456604994	0.00662479971707753	0.34401638530824
ygcL_locusTag_ECDH10B_2928	-3.61048827899283	2.72591122411796	0.00678286678875572	0.348080763912382
P_locusTag_ECDH10B_1332	-7.01917204790835	-0.534991750197475	0.00716461671387245	0.362784321628901
rygC_locusTag_ECDH10B_3087	-6.45418342485436	-1.02599316033906	0.00723572580965483	0.362784321628901
yqjI_locusTag_ECDH10B_3246	-1.99655664125555	5.13434707285844	0.00737571588674119	0.36560082611324
hyaA_locusTag_ECDH10B_1042	5.26849950133668	1.27770938329679	0.00753745640862757	0.369420054544196
frmB_locusTag_ECDH10B_0310	-1.87352413367235	7.10384515100932	0.00779741944087007	0.37736251141802
sufC_locusTag_ECDH10B_1816	-2.35186244666282	5.23859011895997	0.0078725329067033	0.37736251141802
melA_locusTag_ECDH10B_4311	-2.48574823832075	3.41325583383582	0.00811091466271172	0.383483358410475
argT_locusTag_ECDH10B_2472	-1.96031303378782	4.94529853927212	0.00817605509678454	0.383483358410475
sufA_locusTag_ECDH10B_1818	-3.49853496125659	4.15715124397362	0.00845686624470109	0.392434580419001
sufD_locusTag_ECDH10B_1815	-2.2580810418352	6.40737289263847	0.00863604898815441	0.396531007224521
phnN_locusTag_ECDH10B_4285	-6.26226211112987	-1.1891252470874	0.0089426189165922	0.406330247022658
yjbG_locusTag_ECDH10B_4217	4.62277493046258	1.3929500839673	0.00932653015195398	0.415786677773312
paaF_locusTag_ECDH10B_1518	-6.89074734165942	-0.648887902017213	0.00940600836117307	0.415786677773312
ycjS_locusTag_ECDH10B_1432	-5.31118160085902	-0.666475965730556	0.0094366990141123	0.415786677773312
ilvL_locusTag_ECDH10B_3954	2.94460078823469	1.57354933768752	0.0095374468093478	0.416023429823751
csrB_locusTag_ECDH10B_2961	1.83290201487918	10.0246564080823	0.01006597876854	0.431693999076327
cysU_locusTag_ECDH10B_2589	-2.2812847748721	5.00618491171048	0.0100946327156775	0.431693999076327
yebE_locusTag_ECDH10B_1987	-1.59030365041844	6.97627227187736	0.010201327147382	0.432021252591071
yhcH_locusTag_ECDH10B_3398	2.13691425816442	4.70078676237222	0.0110496003823476	0.459082386748569
gatY_locusTag_ECDH10B_2249	1.61419483771955	8.57638200845141	0.0110508139863823	0.459082386748569
wcaA_locusTag_ECDH10B_2209	4.6084925898907	3.54192863196952	0.0118142956595376	0.483114723801113
malK_locusTag_ECDH10B_4224	-2.33750337957698	5.45021124072756	0.0118508196805867	0.483114723801113
yeeP_locusTag_ECDH10B_2144	-3.62022048909025	2.71149565026999	0.0120396822199923	0.48526203656616
insC-2_locusTag_ECDH10B_1529	-4.47813592079464	-0.38434020173358	0.0121259885340925	0.48526203656616
ygbJ_locusTag_ECDH10B_2904	-3.43618096715159	2.35722140487761	0.0122412728831873	0.485422111967847
tdcD_locusTag_ECDH10B_3289	3.67683598771809	3.12542639767848	0.0134503816389872	0.526326170547238
pykA_locusTag_ECDH10B_1995	1.47679897680029	7.50376172673871	0.0135141061671918	0.526326170547238
frmA_locusTag_ECDH10B_0311	-1.5673549827017	8.10271246160774	0.0137331441335803	0.530123670005993
ptsA_locusTag_ECDH10B_4136	-2.7670561731615	3.29835873560774	0.0141418314548724	0.541111129878538
ydiB_locusTag_ECDH10B_1828	-6.93208730431816	-0.741233433608516	0.0145847493216922	0.549056853808386
fsaB_locusTag_ECDH10B_4135	-3.23802222162427	2.75697620478267	0.0146012368275499	0.549056853808386
yafM_locusTag_ECDH10B_0210	-2.4253542338671	3.31406599445639	0.0150509146852199	0.561128973136149
yrhB_locusTag_ECDH10B_3620	-3.46535628657035	1.81800382784837	0.0154449834968502	0.567817853026238
hyfC_locusTag_ECDH10B_2649	-6.68201258002195	-0.973379980758304	0.0154906750367085	0.567817853026238
glcB_locusTag_ECDH10B_3152	-1.7633278789715	5.15868219554571	0.015839906661276	0.569035399245597
yahD_locusTag_ECDH10B_0305	3.34499872590374	0.0611037114204702	0.0158551692961619	0.569035399245597
wcaE_locusTag_ECDH10B_2205	4.75219974687799	3.23135542219526	0.0160347429899921	0.569035399245597
yggM_locusTag_ECDH10B_3131	2.23641571261877	1.97267811172656	0.016167502605161	0.569035399245597
gatC_locusTag_ECDH10B_2245	2.27069959115964	5.35161805145044	0.0161761553201408	0.569035399245597
yacH_locusTag_ECDH10B_0097	-2.93519474573228	2.71992632160039	0.0164365710556652	0.569263737089965
nhaA_locusTag_ECDH10B_0020	-1.61796762325122	6.66660081908201	0.0164436567797651	0.569263737089965
tdcC_locusTag_ECDH10B_3290	2.92215324718075	4.50412000210678	0.0167469719452094	0.574802860502352
yiaU_locusTag_ECDH10B_3766	2.34371433858459	2.54801206474673	0.0169019188268932	0.574802860502352
gspH_locusTag_ECDH10B_3504	6.96454190328368	-0.466187426284478	0.0170274367930417	0.574802860502352
yfcS_locusTag_ECDH10B_2498	7.19836114998238	-0.26842954840253	0.0171307592538528	0.574802860502352
insF-1_locusTag_ECDH10B_0288	5.99961731199428	-0.131530650391341	0.017490278146811	0.582386208216714
bssR_locusTag_ECDH10B_0905	2.3089897980755	4.68084808359847	0.0176390393514537	0.582634807362779
ygeV_locusTag_ECDH10B_3044	2.03492057101348	4.63804830891136	0.0177648852313731	0.582634807362779
dkgA_locusTag_ECDH10B_3187	-2.38232262527323	5.8781936784464	0.0187500433521663	0.610355888822011
yafT_locusTag_ECDH10B_0198	2.0625952111026	3.36286014185008	0.0194184144934697	0.627430548300109
ydcZ_locusTag_ECDH10B_1577	4.40042563728685	0.803852363610877	0.0198762201272522	0.637500530846134
yfbQ_locusTag_ECDH10B_2452	1.49616824324882	6.80848114537902	0.0200727705072112	0.63772002792875
gatB_locusTag_ECDH10B_2246	3.82170549867589	1.88746926677217	0.0201871343197799	0.63772002792875
yegT_locusTag_ECDH10B_2251	-2.17446063300938	4.9899119236552	0.0203216606790684	0.63772002792875
pflB_locusTag_ECDH10B_0973	1.77917056224806	10.6949759050052	0.0209807244807127	0.65369942989192
appB_locusTag_ECDH10B_1049	2.38433777922217	3.73198834874159	0.0213460155158287	0.660363969362021
mdtI_locusTag_ECDH10B_1732	-2.18312273646646	4.56104545762841	0.0218362774720272	0.670773537556215
acpT_locusTag_ECDH10B_3649	1.84283053783989	4.81654149026796	0.0222023508641666	0.677246036109924
cysT_locusTag_ECDH10B_2051	-5.13084376041639	-0.508332217083202	0.0223575032553482	0.677246036109924
tnaB_locusTag_ECDH10B_3896	-2.52455297914255	3.57768253261061	0.0229580125997158	0.690640351448003
tdcA_locusTag_ECDH10B_3292	2.58260204222762	2.8255464238082	0.023792608659814	0.699790967140966
nanK_locusTag_ECDH10B_3399	2.01629290828108	3.87736336544863	0.0237959836334092	0.699790967140966
nlpA_locusTag_ECDH10B_3843	1.74433011608389	3.58031438517467	0.0238523882099412	0.699790967140966
sieB_locusTag_ECDH10B_1475	-6.21214116240122	-1.1502145681241	0.0239039096983044	0.699790967140966
fsr_locusTag_ECDH10B_0435	-1.69996207128989	4.57777614149897	0.0240733952556463	0.700054334034195
feoA_locusTag_ECDH10B_3583	-3.49712258714903	3.45579117602784	0.024415148008856	0.705290566984305
hmp_locusTag_ECDH10B_2719	-1.83543447253555	3.79227192153547	0.0249656439025817	0.712572253884311
gspD_locusTag_ECDH10B_3500	2.14804637985879	2.06098087416885	0.0253429896273157	0.712572253884311
insH-8_locusTag_ECDH10B_2349	-6.29919868268138	-1.11324582143625	0.0253669056173825	0.712572253884311
exoX_locusTag_ECDH10B_1985	-1.5808309870827	5.35998297091618	0.0253840780022958	0.712572253884311
