	logFC	logCPM	PValue	FDR
ibpB_locusTag_ECDH10B_3872	-4.53123348319347	7.48236033106263	0.0482911147023241	1
fxsA_locusTag_ECDH10B_4333	-10.11455538195	4.80539585383401	0.0531275253815935	1
yfiD_locusTag_ECDH10B_2747	-13.2056386165396	7.88532155654254	0.0815040944991474	1
yfjL_locusTag_ECDH10B_2794	-4.21803046892177	4.92064200718568	0.0954093024721733	1
phoR_locusTag_ECDH10B_0356	-9.85748174241568	4.54126292117496	0.0984073093452766	1
yjbI_locusTag_ECDH10B_4227	-9.4908648969357	4.16926726029656	0.102482170091834	1
sucD_locusTag_ECDH10B_0795	1.59664962344934	9.08670031070032	0.106684789745631	1
yhbO_locusTag_ECDH10B_3326	2.44114037404805	2.11413343104098	0.115583518814598	1
ydcQ_locusTag_ECDH10B_1568	2.44884952858938	1.98654837980456	0.117942307074103	1
ybcL_locusTag_ECDH10B_0501	2.48613717166929	2.06823937984072	0.117972296439307	1
phnN_locusTag_ECDH10B_4285	2.67985992035114	1.39547109529305	0.120322070271133	1
dcuD_locusTag_ECDH10B_3404	2.44673932477488	1.63647224410857	0.120834227413004	1
focA_locusTag_ECDH10B_0974	-3.88382165398645	6.70630334698658	0.121165524775593	1
araG_locusTag_ECDH10B_2040	-10.1201646732804	4.80665937528474	0.121225642258867	1
narW_locusTag_ECDH10B_1597	2.84440625330328	1.5907840560317	0.122355912634739	1
pspE_locusTag_ECDH10B_1425	-3.0673383309245	6.9896905180808	0.125906809347073	1
yliL_locusTag_ECDH10B_0884	2.56193680275152	1.16769452097737	0.125983714071753	1
ibpA_locusTag_ECDH10B_3873	-2.80925464449914	7.65264555735258	0.126001810769231	1
pspG_locusTag_ECDH10B_4239	-4.34602846723831	5.68365108327916	0.127196201906301	1
hcaR_locusTag_ECDH10B_2704	1.97417797072449	3.90354155569482	0.128003212238623	1
yncH_locusTag_ECDH10B_1585	2.77399644661848	0.844566882202518	0.128524014652687	1
yiiL_locusTag_ECDH10B_4091	2.77404649952911	0.844566882202518	0.12858024211607	1
argW_locusTag_ECDH10B_2511	2.54753410542934	1.83644016234689	0.129266849183758	1
frwC_locusTag_ECDH10B_4137	2.5548644368583	0.569351943336836	0.12955639767717	1
pepE_locusTag_ECDH10B_4210	-10.7035820252802	5.40195710568868	0.131557799736771	1
ykgI_locusTag_ECDH10B_0291	2.75576457049821	0.686062645701076	0.131931930393324	1
ychS_locusTag_ECDH10B_1287	2.75582005246287	0.686062645701076	0.131994895854759	1
dinJ_locusTag_ECDH10B_0208	-8.86003857320386	3.57405058105011	0.132398531800816	1
ybcD_locusTag_ECDH10B_0495	2.37536510714112	1.20094554632396	0.132665948313645	1
yjbM_locusTag_ECDH10B_4237	2.74894682350894	0.628787665726851	0.134090965111017	1
prfH_locusTag_ECDH10B_0218	2.78872210454795	0.986349695168439	0.135080651712886	1
