chromosome	part_name	sample	reads_us	reads_ds	t_e	t_s	max_term
0x58v50	ECK120029600	tube_8	78.835	0.0	0.0126847212533	78.835	Y
0x58v50	ECK120029600	tube_1	8023.25	15.0	0.00186956657215	534.883333333	N
0x58v50	ECK120029600	tube_3	2336.85	26.04	0.0111432055973	89.7407834101	N
0x58v50	ECK120029600	tube_2	2863.705	8.0	0.00279358383632	357.963125	N
0x58v50	ECK120029600	tube_5	5049.58	31.0	0.00613912444203	162.889677419	N
0x58v50	ECK120029600	tube_4	7584.335	50.3	0.00663209101391	150.782007952	N
0x58v50	ECK120029600	tube_7	96.14	0.0	0.0104014978157	96.14	Y
0x58v50	ECK120029600	tube_6	1926.8	16.0	0.0083039236039	120.425	N
0x58v50	ECK120029600	flask_8	10584.35	29.14	0.0027531213537	363.224090597	N
0x58v50	ECK120029600	flask_7	5011.805	41.8	0.00834030853156	119.899641148	N
0x58v50	ECK120029600	flask_6	22134.505	162.28	0.00733153960299	136.396999014	N
0x58v50	ECK120029600	flask_5	12387.12	79.92	0.00645186290276	154.993993994	N
0x58v50	ECK120029600	flask_4	5212.57	23.0	0.00441241076858	226.633478261	N
0x58v50	ECK120029600	flask_3	3072.975	0.0	0.000325417551396	3072.975	Y
0x58v50	ECK120029600	flask_2	9753.255	76.28	0.00782097873992	127.861234924	N
0x58v50	ECK120029600	flask_1	25818.1	253.98	0.00983728469562	101.654067249	N
0x58v50	ECK120033737	tube_8	272.4	0.0	0.00367107195301	272.4	Y
0x58v50	ECK120033737	tube_1	2070.495	3.54	0.0017097360776	584.88559322	N
0x58v50	ECK120033737	tube_3	601.43	5.52	0.00917812546764	108.954710145	N
0x58v50	ECK120033737	tube_2	1916.945	3.16	0.00164845626766	606.628164557	N
0x58v50	ECK120033737	tube_5	247.76	0.0	0.00403616402971	247.76	Y
0x58v50	ECK120033737	tube_4	1419.87	0.0	0.000704289829351	1419.87	Y
0x58v50	ECK120033737	tube_7	259.755	0.0	0.0038497815249	259.755	Y
0x58v50	ECK120033737	tube_6	2457.215	0.0	0.00040696479551	2457.215	Y
0x58v50	ECK120033737	flask_8	4265.63	0.0	0.00023443195964	4265.63	Y
0x58v50	ECK120033737	flask_7	1588.835	0.0	0.000629391975882	1588.835	Y
0x58v50	ECK120033737	flask_6	6778.51	15.1	0.00222762819558	448.90794702	N
0x58v50	ECK120033737	flask_5	691.71	0.0	0.00144569255902	691.71	Y
0x58v50	ECK120033737	flask_4	1163.8	0.0	0.000859254167383	1163.8	Y
0x58v50	ECK120033737	flask_3	883.075	0.0	0.00113240664723	883.075	Y
0x58v50	ECK120033737	flask_2	12108.595	49.68	0.00410287072943	243.731783414	N
0x58v50	ECK120033737	flask_1	3489.86	17.68	0.00506610580367	197.390271493	N
0x58v50	L3S2P11	tube_8	30.775	0.0	0.0324939073924	30.775	Y
0x58v50	L3S2P11	tube_1	39.55	0.0	0.0252844500632	39.55	Y
0x58v50	L3S2P11	tube_3	206.72	1.8	0.00870743034056	114.844444444	N
0x58v50	L3S2P11	tube_2	56.655	0.0	0.0176506927897	56.655	Y
0x58v50	L3S2P11	tube_5	5593.615	0.0	0.000178775264297	5593.615	Y
0x58v50	L3S2P11	tube_4	469.675	0.0	0.00212913184649	469.675	Y
0x58v50	L3S2P11	tube_7	24.035	0.0	0.0416059912627	24.035	Y
0x58v50	L3S2P11	tube_6	711.035	4.2	0.00590688222099	169.294047619	N
0x58v50	L3S2P11	flask_8	17255.02	444.76	0.0257756873072	38.7962496627	N
0x58v50	L3S2P11	flask_7	6784.19	149.44	0.0220276849558	45.3974170236	N
0x58v50	L3S2P11	flask_6	33661.705	577.22	0.0171476756748	58.3169415474	N
0x58v50	L3S2P11	flask_5	4335.24	110.94	0.0255902787389	39.0773391022	N
0x58v50	L3S2P11	flask_4	422.395	8.8	0.0208335799429	47.9994318182	N
0x58v50	L3S2P11	flask_3	150.12	0.0	0.00666133759659	150.12	Y
0x58v50	L3S2P11	flask_2	192.805	9.2	0.0477166048598	20.9570652174	N
0x58v50	L3S2P11	flask_1	72.02	0.0	0.0138850319356	72.02	Y
