sample	chromosome	part_name	reads_us	reads_ds	reads_strength
tube_3	0x58v50	pSrpR	27.0	177.0	150.0
tube_3	0x58v50	pDNA2.0	747.0	481.0	-266.0
tube_3	0x58v50	pLitR	35.0	467.5	432.5
tube_3	0x58v50	pJ23105	91.0	1859.0	1768.0
tube_3	0x58v50	pPhlF	0.0	38972.0	38972.0
tube_3	0x58v50	pBM3R1	3.0	236.0	233.0
tube_3	0x58v50	pBAD2	5323.0	164.0	-5159.0
tube_3	0x58v50	pBAD1	1429.0	2632.5	1203.5
tube_3	0x58v50	pTet1	0.0	2291.5	2291.5
tube_3	0x58v50	pTet2	186.0	11946.0	11760.0
tube_3	0x58v50	pAmtR	0.0	825.0	825.0
tube_3	0x58v50	pTac	0.0	304.5	304.5
