	logFC	logCPM	PValue	FDR
nikE_locusTag_ECDH10B_3654	10.1183153178061	2.23773329438715	1.18085495158306e-06	0.00407305442455485
gmd_locusTag_ECDH10B_2203	-6.3254751270425	4.44670811674724	1.8675169301031e-06	0.00407305442455485
wza_locusTag_ECDH10B_2212	-6.31407720074694	3.08682015639351	5.40484781653636e-06	0.00785864872524386
yjbE_locusTag_ECDH10B_4215	-4.27155415471858	4.998392462438	7.43167638272052e-06	0.00810424309535673
napF_locusTag_ECDH10B_2365	9.57077985159266	1.70981658111843	1.47569332978974e-05	0.00940073822691382
wcaJ_locusTag_ECDH10B_2197	-5.64744296463133	2.79421463115997	1.48048830485608e-05	0.00940073822691382
napG_locusTag_ECDH10B_2362	9.61590933621594	1.74832451599245	1.50860081587338e-05	0.00940073822691382
nirB_locusTag_ECDH10B_3541	4.29844939986686	4.76661162349944	3.18001848664435e-05	0.0153718527862214
frdA_locusTag_ECDH10B_4349	4.16320271255869	7.99522739262713	3.29013658956676e-05	0.0153718527862214
wzc_locusTag_ECDH10B_2210	-4.9786155004291	4.0012790322688	3.52403777767571e-05	0.0153718527862214
wzxC_locusTag_ECDH10B_2196	-5.07415207358332	3.01624179296938	4.22956923667258e-05	0.016772164554878
wcaE_locusTag_ECDH10B_2205	-9.90304606434665	1.99579320166327	0.000101336919524722	0.0368359702472366
wcaC_locusTag_ECDH10B_2207	-4.86666732131743	2.13138444801464	0.000149725670069156	0.0418004918329611
rcsA_locusTag_ECDH10B_2093	-4.12967656093041	5.22605892469651	0.000151175469403976	0.0418004918329611
wcaL_locusTag_ECDH10B_2194	-4.30741609706201	2.90563702534109	0.000153133793508139	0.0418004918329611
napA_locusTag_ECDH10B_2363	5.05583727250909	4.94671543289243	0.000153325967291925	0.0418004918329611
uidB_locusTag_ECDH10B_1749	-2.22762800108897	4.82474098904062	0.000168598681203331	0.0432604380828781
cpsB_locusTag_ECDH10B_2199	-4.59288958858537	3.75724508115291	0.000204332188372063	0.0495165003154966
dmsA_locusTag_ECDH10B_0964	3.67008227964132	4.93188148900712	0.000252364669051432	0.0579376150738077
wcaA_locusTag_ECDH10B_2209	-7.231065986301	2.72731262698671	0.000289218965902703	0.0603724188528024
cpsG_locusTag_ECDH10B_2198	-5.11084505615678	3.23818511806743	0.000290651259951593	0.0603724188528024
frdC_locusTag_ECDH10B_4347	4.5145739296809	5.4534505209682	0.000311178579745227	0.06169822567494
hybB_locusTag_ECDH10B_3172	4.49422504869391	3.91799859987809	0.000349990610392736	0.0621441791803459
ompW_locusTag_ECDH10B_1371	5.80949837617371	4.5738581165218	0.000356717159496928	0.0621441791803459
napH_locusTag_ECDH10B_2361	6.09568274257553	2.50829547028125	0.000363131058689389	0.0621441791803459
ydcW_locusTag_ECDH10B_1574	-2.12062721044037	4.42221535997911	0.000370414639772809	0.0621441791803459
yodD_locusTag_ECDH10B_2095	-2.66298464185374	4.01044900386554	0.000444134127460734	0.0717523357031008
wcaD_locusTag_ECDH10B_2206	-5.52559047517725	3.99233365538214	0.000464600741433278	0.0723781583618556
ssrA_locusTag_ECDH10B_2787	-1.97440302628219	15.0622100807661	0.000616704510470324	0.0927608646438467
wcaF_locusTag_ECDH10B_2204	-6.70967605901729	2.39787611226873	0.000642692560966211	0.0934474983644871
hybA_locusTag_ECDH10B_3173	3.96295954466386	3.39287301289539	0.000688025447655391	0.0968118387958973
yhbV_locusTag_ECDH10B_3332	4.83674316709534	2.86043110544614	0.00074164322387053	0.098794600016455
dmsC_locusTag_ECDH10B_0966	2.39874804233136	4.31148899259619	0.000770698997686947	0.098794600016455
hypB_locusTag_ECDH10B_2895	3.79934268393117	3.2286600791084	0.000796858778892596	0.098794600016455
aldA_locusTag_ECDH10B_1541	-2.01911960993841	8.35909671635015	0.000802057051197118	0.098794600016455
hybC_locusTag_ECDH10B_3171	2.26132827053535	4.96938176785559	0.000828486820536152	0.098794600016455
focA_locusTag_ECDH10B_0974	2.77331745554349	5.4586806648345	0.000856492665504347	0.098794600016455
ansB_locusTag_ECDH10B_3132	2.87008057323129	5.81451289853294	0.000860659055622488	0.098794600016455
aslB_locusTag_ECDH10B_3990	2.2249960741718	3.80924470174973	0.000966227745935547	0.10806885712233
yjjW_locusTag_ECDH10B_4537	4.70480318678276	3.11138285290514	0.00104303564684279	0.109151426559139
dmsB_locusTag_ECDH10B_0965	5.62228224310136	2.80020941129526	0.00107983072456547	0.109151426559139
glcD_locusTag_ECDH10B_3156	-3.47783136521696	4.52188529648775	0.00109324054877444	0.109151426559139
ynjE_locusTag_ECDH10B_1895	3.85313747200281	5.3720951779539	0.00109755743494177	0.109151426559139
wcaI_locusTag_ECDH10B_2200	-4.62907292509891	3.88813744998713	0.0011010231014677	0.109151426559139
wcaM_locusTag_ECDH10B_2193	-2.40818211220131	3.91712453655984	0.00119063094111934	0.110627811925989
ftn_locusTag_ECDH10B_2046	2.95367658602803	4.71565649603008	0.00120778483388934	0.110627811925989
kch_locusTag_ECDH10B_1365	7.47709615488683	-0.243491928718152	0.00123831703712641	0.110627811925989
fcl_locusTag_ECDH10B_2202	-4.32244385387309	4.01738193872908	0.00124030041135243	0.110627811925989
ygjE_locusTag_ECDH10B_3238	7.1977684971976	-0.496590889697342	0.00124272415964545	0.110627811925989
wcaK_locusTag_ECDH10B_2195	-4.06070528412026	3.61968271591415	0.00150790596121189	0.131549716056125
ynfF_locusTag_ECDH10B_1721	2.37516389477629	4.30496768550059	0.00158743444031467	0.135772333895149
ydjY_locusTag_ECDH10B_1889	3.67468756206365	2.49802633888351	0.00164937703433075	0.137394562831787
aldB_locusTag_ECDH10B_3769	-2.38857920333177	4.35717599073881	0.001669397485118	0.137394562831787
hypD_locusTag_ECDH10B_2897	2.46298035111381	4.21210887012265	0.00181228184351997	0.145600339384186
wzb_locusTag_ECDH10B_2211	-7.90493963833226	0.0932547336304046	0.00183884562022239	0.145600339384186
nudE_locusTag_ECDH10B_3572	1.67769052181107	5.73934453618705	0.00186923865325869	0.145600339384186
napC_locusTag_ECDH10B_2359	3.53156659590714	3.05289253815703	0.0019709085847927	0.150826372752031
D_locusTag_ECDH10B_1351	7.6864022854006	-0.0510839314026707	0.00227515159660142	0.171107090765093
ydiV_locusTag_ECDH10B_1843	2.22192816917835	3.43847961664371	0.00231459841630768	0.171123360880239
yjjI_locusTag_ECDH10B_4538	3.60877600030486	3.60357067292034	0.00238977387732555	0.173736560881568
aspA_locusTag_ECDH10B_4332	2.15922893118242	7.28765870423289	0.00254398770217151	0.181915973063477
glpA_locusTag_ECDH10B_2400	1.91350153897657	5.74759810090678	0.00280672749300556	0.196395468592052
yhbU_locusTag_ECDH10B_3331	4.58786263671743	2.71172647640197	0.00283652327402551	0.196395468592052
nikC_locusTag_ECDH10B_3652	5.17459844944495	1.90328820451719	0.00288760050991033	0.196808022253576
katE_locusTag_ECDH10B_1870	-1.70925421624486	4.68489701163065	0.00332727103010217	0.223285480512395
bfr_locusTag_ECDH10B_3511	-1.46936982510689	5.38862182344983	0.00370933419695246	0.245153269198586
gutM_locusTag_ECDH10B_2874	7.3179374934279	-0.378593318031761	0.00381347532234222	0.248274318747116
yeaH_locusTag_ECDH10B_1922	-1.86850504114979	4.38847462020293	0.00394957191929659	0.249384377788875
exo_locusTag_ECDH10B_1318	7.2118933576364	-0.432931136215527	0.00396253107413532	0.249384377788875
fucP_locusTag_ECDH10B_2970	7.29294795452288	-0.351366162284671	0.00400204182604797	0.249384377788875
pflB_locusTag_ECDH10B_0973	1.69708183725364	9.88887079917128	0.0040674960324035	0.249893206948508
AmtR	-1.55637331532676	11.1961885246069	0.0044754679716049	0.271138767946397
yjhF_locusTag_ECDH10B_4497	3.86437241188152	0.732041482895445	0.00501059074387605	0.295885747381428
insD-7_locusTag_ECDH10B_1710	6.85885034232284	-0.677693299343252	0.00501961148698434	0.295885747381428
ileU_locusTag_ECDH10B_3452	7.38281538658845	-0.280679462871568	0.00531584075242431	0.305383062915585
glpB_locusTag_ECDH10B_2401	1.78698413977615	5.22714806228756	0.00532075029380661	0.305383062915585
dcuA_locusTag_ECDH10B_4331	1.30537746870093	6.4943403354538	0.00544486332177566	0.305713368554394
osmE_locusTag_ECDH10B_1877	-1.45095718280557	4.94516278478573	0.00546667646658477	0.305713368554394
yghA_locusTag_ECDH10B_3180	-1.88307262418044	3.39651057035557	0.00560365396324099	0.306742482687624
chaC_locusTag_ECDH10B_1277	-1.28123930375967	4.85522106749788	0.00562572182829205	0.306742482687624
malF_locusTag_ECDH10B_4222	-2.08173997350255	5.78255409251273	0.00570455633951795	0.307200922876263
gadX_locusTag_ECDH10B_3693	2.41408994500478	4.23413008998242	0.00601857015961911	0.316602183947234
rraA_locusTag_ECDH10B_4118	2.14767657711122	6.11028750953268	0.00610859058299738	0.316602183947234
glpC_locusTag_ECDH10B_2402	1.90588116909375	5.59272821658112	0.0061589362306325	0.316602183947234
yjbJ_locusTag_ECDH10B_4234	-1.25426258572806	4.98253899115985	0.00616946025573473	0.316602183947234
yjhB_locusTag_ECDH10B_4474	-1.7907870099465	4.17540154036114	0.00643582576163056	0.326431069444564
pepE_locusTag_ECDH10B_4210	3.73590005501288	4.20210995364398	0.00661177396866731	0.328637629810898
ydhV_locusTag_ECDH10B_1807	3.42318239607167	2.083866057411	0.00679296373948325	0.328637629810898
