	logFC	logCPM	PValue	FDR
xylG_locusTag_ECDH10B_3748	7.23372279129114	9.34468646434019	4.26432568107974e-13	1.86009886208698e-09
yagH_locusTag_ECDH10B_0258	6.80794583031194	10.3965118492477	9.39793639300825e-11	2.0496899273151e-07
xylF_locusTag_ECDH10B_3747	6.53989906762715	9.83367391752799	7.85860040428395e-10	1.14264049878289e-06
xylH_locusTag_ECDH10B_3749	6.61758400947572	8.70396949695243	2.21480103600155e-09	2.41524052975969e-06
xylA_locusTag_ECDH10B_3746	6.45682656359165	6.48193958388448	7.3869797840091e-09	6.44440116356954e-06
yagG_locusTag_ECDH10B_0257	4.48472830982018	9.81995759230991	1.93969865677127e-08	1.41016092347271e-05
araF_locusTag_ECDH10B_2041	6.18982113518135	8.52772320781479	8.9020287523486e-08	5.54723563110637e-05
BM3R1	3.35559090227301	11.4315353949573	1.67944478773104e-07	9.15717270510352e-05
uidA_locusTag_ECDH10B_1750	5.31307296801206	6.17457348963598	3.74957388411365e-06	0.00181729347583375
xylR_locusTag_ECDH10B_3750	5.06632001783098	7.48639051605312	4.39522504647785e-06	0.00191719716527364
lamB_locusTag_ECDH10B_4225	4.81484830400658	8.12585599733003	5.06805702850732e-06	0.00200971497803172
tnaA_locusTag_ECDH10B_3895	5.31025279563531	7.73012743445123	6.65773647989585e-06	0.00242008721044214
araE_locusTag_ECDH10B_3013	2.91598766032298	10.4304745029555	7.4411350904521e-06	0.00249678702035016
glcD_locusTag_ECDH10B_3156	12.4347255520048	5.16047004927276	1.2756922338531e-05	0.00397469251719088
malE_locusTag_ECDH10B_4223	5.13472273525764	7.87480394683038	1.38772530664556e-05	0.00403550519172529
dsdA_locusTag_ECDH10B_2531	-3.9936371851266	6.54060905062935	2.27358910699295e-05	0.00600711069753142
aldB_locusTag_ECDH10B_3769	8.0744355248351	4.68735224330995	2.34114813979904e-05	0.00600711069753142
araH_locusTag_ECDH10B_2039	4.61201663350727	7.75750215001811	2.5717807230068e-05	0.00623228195208648
YFP	3.1733098798296	14.4449324942838	3.08643686980459e-05	0.00708580927688822
araG_locusTag_ECDH10B_2040	3.54015302457282	7.82609699653265	3.49432010625234e-05	0.00757239439495435
xylB_locusTag_ECDH10B_3745	5.18205384082233	5.15819657924485	3.6455818957827e-05	0.00757239439495435
baeR_locusTag_ECDH10B_2231	11.3859049169178	4.16859378990085	4.69150370287833e-05	0.00930197234179785
ygeA_locusTag_ECDH10B_3012	2.97488452104812	8.94070934365628	5.49675622181996e-05	0.010424717669382
dkgA_locusTag_ECDH10B_3187	4.40196654846104	6.71043518308	5.90530626594467e-05	0.0107328941383544
fsaB_locusTag_ECDH10B_4135	6.41958208291998	3.97566679343151	0.000138481664162866	0.0240219229795078
gmd_locusTag_ECDH10B_2203	-5.2059346519424	4.98649559607985	0.000143769590362533	0.0240219229795078
rmf_locusTag_ECDH10B_1023	3.80997938156925	7.66484907501439	0.000148691407713597	0.0240219229795078
aldA_locusTag_ECDH10B_1541	2.80108370202145	8.31206143217565	0.00017291564027598	0.0269377865315652
ugd_locusTag_ECDH10B_2176	-3.49735077864021	7.19747082270883	0.000184805377895792	0.0277972778752223
dsdX_locusTag_ECDH10B_2530	-4.5971188406811	5.84429588678678	0.000195670317018407	0.0284504640944764
yegP_locusTag_ECDH10B_2232	5.7252769338815	3.81274735300632	0.000223191533685404	0.0314052087076042
ygaT_locusTag_ECDH10B_2826	10.8560901160429	3.67843697565571	0.000246652504768398	0.0335507114066845
malF_locusTag_ECDH10B_4222	4.28097072095084	6.24036325834629	0.000254018789730267	0.0335507114066845
yicJ_locusTag_ECDH10B_3839	4.68400628352768	4.42918920057367	0.000264755171452089	0.0335507114066845
abgR_locusTag_ECDH10B_1459	10.5349863958059	3.38532242164609	0.000271476097996079	0.0335507114066845
tnaC_locusTag_ECDH10B_3894	10.8111391373975	3.63735769893624	0.000276897205557231	0.0335507114066845
wcaA_locusTag_ECDH10B_2209	-6.33759958358258	2.03115387639439	0.000293262779173484	0.0345733038582362
astD_locusTag_ECDH10B_1884	10.7027810266445	3.53736501347957	0.000348050849020625	0.039906923615526
fadA_locusTag_ECDH10B_4034	4.3553021762458	5.27091174642764	0.000356801930537715	0.039906923615526
pstS_locusTag_ECDH10B_3915	-3.21109881774322	6.99866088685726	0.000431302366943027	0.0461486413787821
feaR_locusTag_ECDH10B_1509	4.55415980153414	4.20753895550133	0.000433767605806984	0.0461486413787821
astE_locusTag_ECDH10B_1882	10.4704774835357	3.32355564737384	0.000456666984799511	0.0474281282784635
yhhM_locusTag_ECDH10B_3641	6.25398301175178	3.02093859911612	0.00047831397274594	0.048521059281809
nikD_locusTag_ECDH10B_3653	-6.45697828498512	3.32768761812657	0.000501623927987934	0.0497291721337129
dadX_locusTag_ECDH10B_1243	2.80722457793113	7.11637020902928	0.000535464105654583	0.0519043206414509
ypeC_locusTag_ECDH10B_2555	-3.92134784906471	5.89221082247023	0.00057274429649926	0.053175181681074
AraC	2.13689021320373	11.9746323471027	0.000574653436493816	0.053175181681074
csiR_locusTag_ECDH10B_2831	5.02225994900024	3.50908594064053	0.000599005289045028	0.053175181681074
rcsA_locusTag_ECDH10B_2093	-3.98580278070219	6.32053530187998	0.0005991096224019	0.053175181681074
hcaR_locusTag_ECDH10B_2704	4.46637740863038	4.38089189115114	0.000625754262412308	0.053175181681074
nudD_locusTag_ECDH10B_2201	-6.40210724716359	3.27737852231631	0.000637407199619776	0.053175181681074
ddpA_locusTag_ECDH10B_1618	10.138451878371	3.02622494798056	0.000647080808995725	0.053175181681074
ycjM_locusTag_ECDH10B_1426	-4.35965867282359	4.3674668868632	0.000673566324501168	0.053175181681074
glpK_locusTag_ECDH10B_4115	2.1632268262026	10.4409258671905	0.000674210284090726	0.053175181681074
tnaB_locusTag_ECDH10B_3896	4.44851326982701	4.57115536522475	0.000675112665980386	0.053175181681074
uidB_locusTag_ECDH10B_1749	4.34446259559396	4.7610784262215	0.000691673641026714	0.053175181681074
ycfZ_locusTag_ECDH10B_1193	-5.38630786943603	3.10002339712223	0.000694861383727927	0.053175181681074
lsrR_locusTag_ECDH10B_1643	9.83321928278518	2.75403159333257	0.000743829570238389	0.0554379693603282
rnpB_locusTag_ECDH10B_3296	2.08445410902423	13.1916835622361	0.000749848737335939	0.0554379693603282
nagA_locusTag_ECDH10B_0742	4.09925881384623	4.64506840096961	0.000784274613126959	0.0570167643743299
xylE_locusTag_ECDH10B_4220	4.0533493078462	5.11243096720098	0.000820091867738957	0.0586432906078251
ydeP_locusTag_ECDH10B_1631	4.16884596511	3.75722192650635	0.000981655146336107	0.0690641894890016
yagK_locusTag_ECDH10B_0265	9.60384119197294	2.54886597377298	0.00108151474873742	0.0747827648562313
wzc_locusTag_ECDH10B_2210	-4.70671044316776	4.5273321804958	0.00112249139761813	0.0747827648562313
