sample	chromosome	part_name	reads_us	reads_ds	reads_strength
tube_4	0x58v50	pSrpR	48.0	942.5	894.5
tube_4	0x58v50	pDNA2.0	1084.5	1479.0	394.5
tube_4	0x58v50	pLitR	47.0	2388.0	2341.0
tube_4	0x58v50	pJ23105	382.5	8032.0	7649.5
tube_4	0x58v50	pPhlF	0.0	184258.5	184258.5
tube_4	0x58v50	pBM3R1	0.0	696.0	696.0
tube_4	0x58v50	pBAD2	7834.5	504.0	-7330.5
tube_4	0x58v50	pBAD1	5851.5	8150.5	2299.0
tube_4	0x58v50	pTet1	12.0	13308.5	13296.5
tube_4	0x58v50	pTet2	788.0	35814.0	35026.0
tube_4	0x58v50	pAmtR	23.0	2760.5	2737.5
tube_4	0x58v50	pTac	0.0	2268.0	2268.0
