gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_00015	4	31	51	6
KOXM_00020	16	0	22	2
KOXM_00025	39	32	132	46
KOXM_00030	24	16	43	17
KOXM_00035	5	0	54	0
KOXM_00042	0	0	0	0
KOXM_00047	0	0	0	0
KOXM_00052	0	0	0	0
KOXM_00057	0	0	0	0
KOXM_00062	0	0	0	0
KOXM_00067	0	0	0	0
KOXM_00072	20	51	119	15
KOXM_00077	142	103	102	27
KOXM_00092	247	299	264	210
KOXM_00097	365	498	996	284
KOXM_00102	35	49	99	44
KOXM_00107	49	83	67	73
KOXM_00127	21	18	1083	341
KOXM_00132	8	11	416	279
KOXM_00137	6	42	515	338
KOXM_00142	0	60	558	426
KOXM_00147	22	33	384	198
KOXM_00152	30	116	841	713
KOXM_00157	0	80	0	2
KOXM_00162	11	1	1	7
KOXM_00167	83	80	196	172
KOXM_00172	248	289	1969	284
KOXM_00177	15	2	0	0
KOXM_00192	55	225	334	143
KOXM_00197	95	86	223	98
KOXM_00202	126	431	451	130
KOXM_00207	120	147	200	57
KOXM_00212	143	200	270	90
KOXM_00217	0	58	49	30
KOXM_00222	3	20	0	18
KOXM_00227	58	14	58	93
KOXM_00232	0	0	42	140
KOXM_00237	76	106	255	70
KOXM_00252	37	52	45	29
KOXM_00257	13094	10423	20977	4470
KOXM_00262	134	199	87	156
KOXM_00267	872	1005	1619	1217
KOXM_00272	382	544	312	288
KOXM_00277	193	288	402	89
KOXM_00292	0	6	88	34
KOXM_00297	172	200	299	184
KOXM_00302	2264	2475	2595	1777
KOXM_00307	2532	3163	3721	1779
KOXM_00312	42	25	69	12
KOXM_00317	521	647	1188	1050
KOXM_00322	688	794	2035	1004
KOXM_00327	100	90	250	24
KOXM_00337	13	4	9	0
KOXM_00342	0	0	0	15
KOXM_00347	0	0	29	0
KOXM_00352	117	276	142	36
KOXM_00357	0	0	0	0
KOXM_00362	0	0	0	0
KOXM_00367	0	0	0	0
KOXM_00372	1	0	5	0
KOXM_00381	0	0	13	13
KOXM_00396	16	49	39	0
KOXM_00401	21	27	76	27
KOXM_00406	18	37	11	8
KOXM_00411	0	0	12	0
KOXM_00416	0	43	31	25
KOXM_00421	33	0	44	0
KOXM_00426	0	23	19	8
KOXM_00431	0	0	0	0
KOXM_00436	0	0	0	0
KOXM_00441	74	165	75	1
KOXM_00466	433	621	563	430
KOXM_00471	235	139	228	52
KOXM_00486	434	154	415	174
KOXM_00491	57	128	129	80
KOXM_00496	70	99	141	72
KOXM_00501	174	201	270	132
KOXM_00506	603	1141	929	446
KOXM_00511	527	627	655	195
KOXM_00516	322	435	771	233
KOXM_00531	10	10	11	0
KOXM_00536	0	0	0	0
KOXM_00541	11	0	0	12
KOXM_00546	0	0	49	0
KOXM_00551	268	466	360	270
KOXM_00556	0	10	8	0
KOXM_00561	489	765	422	349
KOXM_00566	79	50	176	38
KOXM_00571	47	88	185	26
KOXM_00576	36	45	39	0
KOXM_00581	20	68	128	56
KOXM_00586	112	250	161	155
KOXM_00591	497	510	665	442
KOXM_00596	60	30	174	65
KOXM_00601	208	276	622	165
KOXM_00606	114	354	286	152
KOXM_00611	503	859	1015	444
KOXM_00616	99	286	314	296
KOXM_00621	179	332	334	264
KOXM_00636	30	33	63	22
KOXM_00641	24	70	58	53
KOXM_00646	5011	3377	7335	2575
KOXM_00651	6491	4977	15639	3317
KOXM_00656	8226	6264	15542	4831
KOXM_00661	22	57	115	12
KOXM_00666	23	137	164	122
KOXM_00671	170	233	306	98
KOXM_00676	229	460	223	222
KOXM_00681	387	1039	573	431
KOXM_00686	321	583	462	187
KOXM_00691	139	95	325	30
KOXM_00696	49	68	51	0
KOXM_00701	46	53	200	94
KOXM_00706	173	267	294	106
KOXM_00711	19	0	29	39
KOXM_00722	79	124	162	35
KOXM_00727	26	34	52	5
KOXM_00732	3	58	25	11
KOXM_00737	23	33	59	29
KOXM_00742	128	281	205	170
KOXM_00747	1171	1391	2455	1013
KOXM_00752	156	112	193	161
KOXM_00757	30	0	5	0
KOXM_00762	14	121	81	75
KOXM_00767	1422	1561	2030	742
KOXM_00772	158	274	98	123
KOXM_00777	630	1578	897	383
KOXM_00782	72	117	73	38
KOXM_00787	286	357	403	179
KOXM_00792	500	721	513	410
KOXM_00797	755	1016	1052	548
KOXM_00802	3076	4247	5680	2102
KOXM_00807	1441	2090	3008	1435
KOXM_00812	26	61	68	14
KOXM_00817	86	99	118	49
KOXM_00822	36	111	83	20
KOXM_00827	45	100	129	69
KOXM_00832	92	122	129	51
KOXM_00837	2981	2638	3863	1697
KOXM_00852	65	141	79	0
KOXM_00857	18	20	27	25
KOXM_00862	117	195	297	75
KOXM_00867	100	93	326	41
KOXM_00872	167	175	182	119
KOXM_00877	79	221	256	220
KOXM_00882	720	545	1907	347
KOXM_00887	47	113	66	84
KOXM_00892	0	0	0	0
KOXM_00897	29	20	23	15
KOXM_00902	0	0	0	0
KOXM_00907	41	20	159	39
KOXM_00912	3	33	10	11
KOXM_00917	0	0	19	0
KOXM_00922	0	0	28	0
KOXM_00937	0	0	16	6
KOXM_00942	0	0	0	0
KOXM_00947	0	0	0	15
KOXM_00952	0	0	0	0
KOXM_00957	11	0	2	0
KOXM_00962	248	322	143	139
KOXM_00967	218	195	31	96
KOXM_00982	11	91	56	14
KOXM_00987	0	46	29	7
KOXM_00992	2518	3640	3820	1754
KOXM_00997	6516	4253	5871	4781
KOXM_01012	87	107	293	91
KOXM_01017	36	69	90	71
KOXM_01022	21	41	77	39
KOXM_01037	23	15	0	0
KOXM_01042	0	23	18	0
KOXM_01047	0	0	0	3
KOXM_01054	0	0	44	9
KOXM_01059	49	60	38	40
KOXM_01064	105	227	125	140
KOXM_01069	219	218	4636	1201
KOXM_01074	70	38	838	93
KOXM_01079	18	0	261	34
KOXM_01084	2	9	220	27
KOXM_01089	0	19	427	88
KOXM_01094	0	0	0	0
KOXM_01099	8	76	136	20
KOXM_01104	37	76	77	18
KOXM_01109	59	76	132	28
KOXM_01114	34	95	173	60
KOXM_01129	92	56	47	50
KOXM_01144	84	130	98	86
KOXM_01149	13	12	17	38
KOXM_01154	0	0	8	0
KOXM_01159	15	0	0	0
KOXM_01164	62	103	85	71
KOXM_01169	35	90	106	4
KOXM_01174	70	85	103	4
KOXM_01179	123	386	320	129
KOXM_01184	243	288	206	111
KOXM_01189	284	279	194	169
KOXM_01194	813	570	510	194
KOXM_01199	176	371	425	289
KOXM_01204	17	74	34	0
KOXM_01209	181	321	252	106
KOXM_01214	21	103	135	91
KOXM_01229	136	262	320	211
KOXM_01234	56	99	219	131
KOXM_01239	0	27	43	0
KOXM_01244	26	0	12	13
KOXM_01249	103	64	252	124
KOXM_01254	0	38	3	18
KOXM_01259	258	226	385	147
