chromosome	part_name	sample	reads_us	reads_ds	t_e	t_s	max_term
pPf_MB	T4	N18	109.466666667	118.333333333	1.08099878197	0.925070422535	N
pPf_MB	T4	N20	0.0	8.0	0.0	-1.0	Y
pPf_MB	T6_1	N18	231.4	141.666666667	0.612215499856	1.63341176471	N
pPf_MB	T6_1	N20	25.0	0.0	0.04	25.0	Y
pPf_MB	T6_2	N18	58.5333333333	19.3333333333	0.330296127563	3.0275862069	N
pPf_MB	T6_2	N20	0.0	0.0	0.0	-1.0	Y
pPf_MB	Twt	N18	356.066666667	458.933333333	1.28889721026	0.775857059849	N
pPf_MB	Twt	N20	25.0	3.0	0.12	8.33333333333	N
pPf_nif60	T4	N19	31.1333333333	21.2666666667	0.683083511777	1.46394984326	N
pPf_nif60	T4	N21	1.0	0.0	1.0	1.0	Y
pPf_nif60	T6_1	N19	119.533333333	78.0	0.652537646403	1.53247863248	N
pPf_nif60	T6_1	N21	9.0	1.2	0.133333333333	7.5	N
pPf_nif60	T6_2	N19	44.8	77.6666666667	1.73363095238	0.576824034335	N
pPf_nif60	T6_2	N21	2.2	0.0	0.454545454545	2.2	Y
pPf_nif60	T7	N19	488.8	90.0666666667	0.184260774686	5.42709104367	N
pPf_nif60	T7	N21	785.533333333	37.4	0.0476109649495	21.0035650624	N
pPf_nif60	Twt	N19	59.2	1.13333333333	0.0191441441441	52.2352941176	N
pPf_nif60	Twt	N21	98.0	0.4	0.00408163265306	245.0	N
