tss_id	locus_id	gene_name	tss_bp	dir	5utr_len
tss-0	ECDH10B_0001	thrL	190	fwd	0
tss-1	ECDH10B_0002	thrA	337	rev	0
tss-2	ECDH10B_0003	thrB	2801	fwd	0
tss-3	ECDH10B_0004	thrC	3734	fwd	0
tss-4	ECDH10B_0005	yaaX	5234	fwd	0
tss-5	ECDH10B_0006	yaaA	6459	rev	0
tss-6	ECDH10B_0007	yaaJ	7959	rev	0
tss-7	ECDH10B_0008	talB	8238	fwd	0
tss-8	ECDH10B_0009	mog	9306	fwd	0
tss-9	ECDH10B_0010	yaaH	10494	fwd	0
tss-10	ECDH10B_0011	yaaW	11356	rev	0
tss-11	ECDH10B_0012	htgA	10830	fwd	0
tss-12	ECDH10B_0013	yaaI	11786	rev	0
tss-13	ECDH10B_0014	dnaK	12163	fwd	0
tss-14	ECDH10B_0015	dnaJ	14168	fwd	0
tss-15	ECDH10B_0016	insL-1	15445	fwd	0
tss-16	ECDH10B_0017	mokC	16960	rev	0
tss-17	ECDH10B_0018	hokC	16903	rev	0
tss-18	ECDH10B_0019	sokC	16952	fwd	0
tss-19	ECDH10B_0020	nhaA	17489	fwd	0
tss-20	ECDH10B_0021	nhaR	18715	fwd	0
tss-21	ECDH10B_0022	insB-1	20314	rev	0
tss-22	ECDH10B_0023	insA-1	20508	rev	0
tss-23	ECDH10B_0024	rpsT	21078	rev	0
tss-24	ECDH10B_0025	yaaY	21181	fwd	0
tss-25	ECDH10B_0026	ribF	21407	fwd	0
tss-26	ECDH10B_0027	ileS	22391	fwd	0
tss-27	ECDH10B_0028	lspA	25207	fwd	0
tss-28	ECDH10B_0029	fkpB	25826	fwd	0
tss-29	ECDH10B_0030	ispH	26277	fwd	0
tss-30	ECDH10B_0031	rihC	27293	fwd	0
tss-31	ECDH10B_0032	dapB	28374	fwd	0
tss-32	ECDH10B_0033	carA	29651	fwd	0
tss-33	ECDH10B_0034	carB	30817	fwd	0
tss-34	ECDH10B_0035	caiF	34300	fwd	0
tss-35	ECDH10B_0036	caiE	35371	rev	0
tss-36	ECDH10B_0037	caiD	36270	rev	0
tss-37	ECDH10B_0038	caiC	37839	rev	0
tss-38	ECDH10B_0039	caiB	39115	rev	0
tss-39	ECDH10B_0040	caiA	40386	rev	0
tss-40	ECDH10B_0041	caiT	41931	rev	0
tss-41	ECDH10B_0042	fixA	42403	fwd	0
tss-42	ECDH10B_0043	fixB	43188	fwd	0
tss-43	ECDH10B_0044	fixC	44180	fwd	0
tss-44	ECDH10B_0045	fixX	45463	fwd	0
