gene	length
pilF	759
PST_1533	270
PST_1532	501
PST_1531	1500
PST_1530	330
PST_1534	330
xseA	1377
PST_2220	1086
speE	861
PST_2226	561
PST_2227	552
PST_2224	327
speA	1914
PST_3053	87
PST_3056	1062
PST_3057	1122
PST_3054	213
PST_3055	498
PST_3298	381
crtZ	534
PST_3290	906
PST_3291	177
PST_3292	2955
PST_3293	1416
PST_0592	957
PST_0593	945
PST_0590	291
PST_0591	1524
PST_0596	558
PST_0597	243
PST_0594	492
PST_0595	897
PST_0598	804
PST_0599	1473
PST_2721	600
PST_0750	648
PST_0751	1851
PST_0752	912
PST_0754	489
PST_0755	351
PST_0757	1407
PST_0759	1549
PST_1627	603
PST_1626	564
PST_1625	789
PST_1624	900
PST_1623	249
PST_1622	1005
PST_2538	471
PST_1620	438
PST_2536	546
PST_2537	1212
PST_2534	891
PST_2535	483
PST_2532	76
PST_2228	990
PST_2530	76
PST_1628	423
PST_2229	387
PST_3128	900
PST_3129	273
PST_3126	1197
PST_3127	1911
PST_3124	156
PST_3122	258
PST_3123	171
PST_3120	312
tolR	441
tolQ	666
norD	1842
PST_2459	1014
PST_2458	792
PST_2484	693
PST_2451	378
PST_2450	300
PST_2453	414
PST_2452	678
PST_2455	564
PST_2454	1359
PST_2456	372
PST_1759	2211
PST_1758	723
cheR	738
PST_1753	1107
PST_1752	1047
PST_1751	1203
PST_1750	342
PST_1757	510
PST_1756	1311
PST_1755	1299
PST_1754	1317
cheB	1119
PST_3928	762
cheA	2229
PST_4149	918
PST_2225	1149
PST_3878	1803
purD	1293
PST_3874	1167
PST_3875	1287
PST_3876	1041
PST_3877	891
PST_3870	1044
PST_3873	1518
narL	609
PST_0378	492
PST_0379	252
PST_2989	402
PST_2988	258
PST_0372	669
PST_0373	654
PST_0370	2367
PST_0371	1086
PST_0376	267
PST_0374	429
PST_0375	1008
PST_0578	1008
PST_0579	324
glk	963
PST_3504	339
PST_0570	1464
PST_0571	657
PST_0572	678
PST_0573	1431
PST_0574	990
PST_0575	315
PST_0576	444
PST_0577	438
gpsA	1044
gltK	1173
gltA	1272
PST_1733	480
gltB	4449
flhA	2031
gltD	1470
PST_3505	858
maeB	1269
apaH	828
dsbD-2	1737
yhgI	585
pilG	378
apaG	384
PST_0215	225
PST_3901	519
PST_0217	420
PST_0216	558
PST_1348	807
PST_0213	576
PST_0212	180
typA	1821
PST_3909	183
ccpR	993
PST_0218	1965
PST_1342	750
PST_1343	423
PST_1455	2334
PST_1188	1287
PST_1189	948
PST_3766	774
PST_1182	504
PST_1183	567
PST_1181	327
PST_1186	192
PST_1184	618
PST_1185	471
gloA1	393
PST_3685	891
PST_3354	252
PST_2310	810
PST_0109	2238
yidC	1671
PST_4110	1260
PST_4111	1830
ureD-2	1089
PST_4114	927
PST_4115	618
PST_0101	1143
PST_0100	1197
PST_0103	768
PST_0102	1359
PST_0105	861
PST_0104	579
PST_0106	1620
PST_1982	1005
glgP	2511
PST_1980	1128
PST_1981	2640
PST_1986	684
PST_1987	1131
PST_1984	495
PST_1985	360
PST_1988	669
